"State or Nation","Overall Rating","Health Inspection Rating","QM Rating","Staffing Rating","Cycle 1 Total Number of Health Deficiencies","Cycle 1 Total Number of Fire Safety Deficiencies","Cycle 2 Total Number of Health Deficiencies","Cycle 2 Total Number of Fire Safety Deficiencies","Cycle 3 Total Number of Health Deficiencies","Cycle 3 Total Number of Fire Safety Deficiencies","Average Number of Residents per Day","Reported Nurse Aide Staffing Hours per Resident per Day","Reported LPN Staffing Hours per Resident per Day","Reported RN Staffing Hours per Resident per Day","Reported Licensed Staffing Hours per Resident per Day","Reported Total Nurse Staffing Hours per Resident per Day","Total number of nurse staff hours per resident per day on the weekend","Registered Nurse hours per resident per day on the weekend","Reported Physical Therapist Staffing Hours per Resident Per Day","Total nursing staff turnover","Registered Nurse turnover","Number of administrators who have left the nursing home","Nursing Case-Mix Index","Case-Mix RN Staffing Hours per Resident per Day","Case-Mix Total Nurse Staffing Hours per Resident per Day","Case-Mix Weekend Total Nurse Staffing Hours per Resident per Day","Number of Fines","Fine Amount in Dollars","Percentage of long stay residents whose need for help with daily activities has increased","Percentage of long stay residents who lose too much weight","Percentage of long stay residents with a catheter inserted and left in their bladder","Percentage of long stay residents with a urinary tract infection","Percentage of long stay residents who have depressive symptoms","Percentage of long stay residents who were physically restrained","Percentage of long stay residents experiencing one or more falls with major injury","Percentage of long stay residents assessed and appropriately given the pneumococcal vaccine","Percentage of long stay residents who received an antipsychotic medication","Percentage of short stay residents assessed and appropriately given the pneumococcal vaccine","Percentage of short stay residents who newly received an antipsychotic medication","Percentage of long stay residents whose ability to walk independently worsened","Percentage of long stay residents who received an antianxiety or hypnotic medication","Percentage of long stay residents assessed and appropriately given the seasonal influenza vaccine","Percentage of short stay residents who were assessed and appropriately given the seasonal influenza vaccine","Percentage of long stay residents with pressure ulcers","Percentage of long stay residents with new or worsened bowel or bladder incontinence","Percentage of short stay residents who were rehospitalized after a nursing home admission","Percentage of short stay residents who had an outpatient emergency department visit","Number of hospitalizations per 1000 long-stay resident days","Number of outpatient emergency department visits per 1000 long-stay resident days","Processing Date"
NJ,3.4,2.8,4.5,3.1,8.6,6.9,8.4,5.2,5.6,3.2,120.3,2.24,0.94,0.69149,1.64,3.87897,3.50661,0.50,0.11,40.7,38.8,0.6,1.38972,0.67836,3.86611,3.42976,0.8,36527,9.232110,4.565509,0.641042,0.797460,11.721111,0.109168,2.287659,92.962684,12.682515,78.697900,1.208266,9.093501,18.938799,97.189843,80.059105,5.740429,15.742607,25.178770,8.130630,2.083189,1.132459,2026-06-01
NM,2.9,2.7,3.9,2.8,17.5,8.7,16.2,4.0,16.2,4.7,83.8,2.24,0.73,0.62681,1.35,3.59356,3.17544,0.46,0.08,53.1,52.3,0.7,1.26808,0.61898,3.52771,3.12955,1.4,42745,13.030092,4.770768,1.074908,0.930570,1.886875,0.012271,3.639620,97.271597,14.544050,86.125823,1.228864,13.696823,14.412288,98.734314,86.411271,5.421094,20.252844,20.892575,15.593741,1.619871,2.680138,2026-06-01
NV,3.2,2.9,3.9,3.1,9.6,8.7,10.9,8.9,13.8,10.6,93.3,2.36,0.85,1.04281,1.90,4.26056,3.78347,0.83,0.09,45.6,45.5,0.4,1.47503,0.72000,4.10343,3.64029,0.5,13076,13.681949,5.770458,1.711386,2.014630,5.141782,0.067227,2.177904,92.318780,17.624668,84.605541,1.455514,16.528587,22.172163,89.583725,80.734497,5.521739,15.808324,23.409415,9.621809,1.831365,1.480229,2026-06-01
NY,3.0,2.7,3.9,2.7,7.9,5.5,6.3,5.5,5.7,4.1,166.2,2.19,0.77,0.69879,1.47,3.65472,3.20725,0.47,0.11,40.3,39.9,0.4,1.43093,0.69847,3.98074,3.53145,0.6,23784,14.793858,5.942279,0.560160,1.290976,18.876083,0.171614,3.064279,91.281023,13.800770,76.976671,1.188043,13.792707,13.333999,95.268732,78.822133,6.781312,20.151446,20.684387,9.815993,1.684961,1.367585,2026-06-01
OH,3.2,2.8,4.5,2.4,10.5,6.1,10.5,6.2,10.1,5.7,73.1,2.12,0.96,0.63648,1.60,3.72439,3.31732,0.42,0.05,49.2,44.2,0.6,1.48510,0.72492,4.13145,3.66515,0.6,23139,5.766401,6.308133,0.200847,0.471342,28.161590,0.062204,3.257261,92.601055,9.375390,78.414308,1.163869,6.917058,25.438244,94.478265,75.597771,3.559145,21.607532,24.915234,12.626194,1.759645,1.850029,2026-06-01
OK,2.7,2.9,2.9,2.6,6.7,2.4,8.3,2.2,7.9,3.8,60.5,2.55,0.93,0.33556,1.27,3.81493,3.47560,0.28,0.02,56.0,54.7,0.7,1.16131,0.56686,3.23068,2.86605,1.1,20876,13.751401,3.394417,1.975026,2.796291,3.343424,0.087436,4.586161,90.622229,17.152504,75.040416,1.847751,14.682016,25.395195,94.619517,74.143983,4.947143,17.344280,27.104812,16.744926,2.305757,2.973565,2026-06-01
OR,3.1,2.8,3.5,3.9,9.6,3.6,13.1,4.5,11.3,4.3,56.6,3.46,0.93,0.70360,1.63,5.08954,4.54773,0.45,0.08,50.4,53.8,0.6,1.31445,0.64162,3.65671,3.24399,0.8,27599,15.304234,5.026824,1.584491,2.081274,4.885834,0.146193,2.464386,95.265364,13.993807,85.532765,1.506546,22.479391,12.467609,95.216340,81.213732,6.174526,22.070886,21.950348,15.322389,1.534334,2.304999,2026-06-01
PA,3.0,2.8,3.6,3.1,10.1,3.8,10.8,4.0,10.7,4.0,103.5,2.20,0.90,0.77792,1.68,3.88310,3.52147,0.55,0.10,45.7,41.0,0.7,1.37728,0.67228,3.83149,3.39905,0.8,25102,17.548840,6.402351,0.799715,1.547435,8.310596,0.156850,3.211660,87.087066,17.737112,69.241246,1.392284,18.368142,19.911586,93.527075,68.732550,5.111197,26.015504,22.977891,9.635890,1.653948,1.185258,2026-06-01
PR,3.0,3.0,,3.0,13.7,9.7,24.0,12.3,10.8,11.8,26.7,0.00,0.84,3.30119,4.14,4.13877,3.36400,2.58,0.51,38.8,36.6,0.3,1.37644,0.67187,3.82916,3.39697,0.2,4537,,,,,,,,,,97.844243,0.294266,,,,97.871754,,,,,,,2026-06-01
RI,2.9,2.9,3.3,3.1,9.2,1.7,9.0,2.2,10.3,1.8,97.8,2.43,0.50,0.76631,1.26,3.69670,3.30293,0.54,0.05,40.6,38.7,0.4,1.34117,0.65466,3.73105,3.30994,2.1,67559,19.673407,5.199226,0.888235,2.285840,15.729965,0.063044,3.611308,93.695608,22.817180,77.879199,2.042827,17.686241,16.670817,95.238171,78.163385,4.374232,22.575880,24.873080,15.275551,1.506639,1.735872,2026-06-01
SC,3.1,3.0,3.5,3.0,3.5,0.6,4.7,0.8,4.4,0.7,91.5,2.22,1.00,0.62816,1.63,3.84661,3.36080,0.42,0.08,45.9,42.7,0.3,1.31677,0.64275,3.66317,3.24972,1.1,14641,12.166607,6.291691,0.642490,1.356009,3.010703,0.138036,3.114345,91.190115,15.267501,80.641349,1.515396,13.605782,20.583683,90.621978,78.042548,5.493674,16.913541,24.574301,14.060186,1.986662,1.822497,2026-06-01
SD,2.8,2.7,2.9,3.5,7.1,1.4,6.1,1.2,3.2,1.5,51.7,2.57,0.47,0.82068,1.29,3.86096,3.30248,0.52,0.04,49.0,37.2,0.3,1.23045,0.60061,3.42303,3.03669,1.6,33893,21.408595,5.441464,2.104565,3.098093,5.268429,0.027531,5.336811,95.249182,24.508560,82.719354,1.919501,20.210191,17.462169,96.912570,78.184976,4.680390,25.570357,20.198530,12.038908,1.542094,1.815885,2026-06-01
TN,3.0,2.9,3.6,2.4,5.3,3.9,4.6,2.6,4.8,3.0,82.7,2.14,1.08,0.59771,1.68,3.81744,3.33306,0.39,0.08,48.7,43.0,0.6,1.46782,0.71648,4.08336,3.62249,0.6,25657,14.646028,6.293433,0.796502,1.857777,12.894248,0.090063,3.491549,89.541198,16.860593,79.369554,1.630262,18.469961,31.867008,94.483473,79.783716,5.217569,20.117874,22.509106,11.078986,1.642489,1.543923,2026-06-01
TX,2.7,2.8,3.8,1.8,9.1,3.1,9.4,2.9,8.8,2.3,75.5,2.02,0.95,0.42366,1.37,3.38666,2.99509,0.33,0.06,53.8,52.8,0.7,1.35539,0.66160,3.77061,3.34503,1.6,49788,16.050661,3.205257,0.389850,0.833756,2.509176,0.037140,3.268077,96.861738,9.430174,89.220750,1.536415,14.887316,18.389495,97.951749,88.027981,4.040192,14.195371,25.837363,12.213219,2.175632,2.057566,2026-06-01
UT,3.3,2.8,4.5,3.0,8.4,2.1,8.9,2.3,9.4,1.8,61.2,2.29,0.47,1.17616,1.64,3.92987,3.43239,0.85,0.10,51.1,41.3,0.6,1.48623,0.72546,4.13457,3.66792,0.9,25896,12.127918,3.529757,0.802940,1.845230,16.460813,0.062702,2.583730,97.058166,14.616608,93.778262,0.806771,16.834835,24.741003,98.040759,90.956051,4.121232,21.775275,17.063174,12.116993,1.197015,1.479232,2026-06-01
VA,3.0,2.8,3.9,2.4,14.3,2.8,12.4,4.6,11.9,4.5,98.6,2.10,1.00,0.66881,1.67,3.77059,3.32295,0.45,0.08,48.3,48.9,0.7,1.42276,0.69448,3.95802,3.51129,0.5,20882,15.348419,5.568419,0.475604,1.583127,16.871523,0.152851,3.675159,90.991403,14.241679,73.897552,1.219623,16.414037,20.411256,93.956400,73.637997,4.959395,22.012358,22.568418,11.745498,1.483173,1.449111,2026-06-01
VT,2.8,2.8,2.9,3.4,8.9,0.6,8.9,0.9,10.1,1.8,73.7,2.52,0.85,0.81841,1.67,4.19153,3.61819,0.53,0.10,57.3,45.4,0.8,1.33700,0.65262,3.71943,3.29964,1.2,92710,20.196105,6.442341,0.946419,2.395593,10.986186,0.075224,5.935631,94.875896,20.021023,83.857732,1.695183,18.896936,16.486521,97.547304,78.450394,5.761664,27.476514,21.425102,18.306715,1.477688,2.755917,2026-06-01
WA,3.3,2.9,4.1,3.5,16.3,10.5,18.2,11.1,15.0,11.6,74.6,2.68,0.79,0.90775,1.70,4.38298,3.83105,0.65,0.08,45.9,46.8,0.6,1.46188,0.71358,4.06683,3.60783,1.2,54992,14.975265,5.567853,1.039088,1.727765,17.227093,0.137346,2.664466,95.858427,15.246665,87.848071,1.307076,18.764375,12.179796,93.842072,81.983185,4.471687,23.048383,20.152095,13.169372,1.334857,1.487486,2026-06-01
WI,3.0,2.8,3.2,3.7,9.8,6.6,9.5,6.8,8.0,5.8,54.4,2.56,0.65,0.98168,1.63,4.18973,3.74342,0.66,0.06,47.4,39.8,0.6,1.35897,0.66335,3.78056,3.35386,0.9,39833,16.746831,5.078736,2.198777,2.809104,5.215115,0.063999,3.234645,95.584374,15.906605,86.590529,1.335748,19.934123,16.763459,94.975038,82.213890,5.269492,25.003710,23.264553,15.207838,1.662146,2.149745,2026-06-01
WV,3.0,2.9,3.5,2.7,12.5,3.1,15.3,3.5,15.1,2.4,77.8,2.08,0.91,0.70716,1.62,3.70211,3.21130,0.40,0.05,44.6,41.8,0.6,1.44644,0.70604,4.02390,3.56974,0.8,28238,15.571253,6.442276,0.420252,1.619603,7.166205,0.205243,4.469527,96.682184,13.992880,78.377504,1.045161,17.209033,26.998683,97.552785,79.421705,4.433463,22.303415,22.624750,11.902560,1.782279,1.872067,2026-06-01
WY,3.0,2.8,3.3,3.4,7.3,5.9,6.4,5.0,6.6,6.7,55.5,2.42,0.47,0.93235,1.40,3.81523,3.31268,0.63,0.03,53.7,45.6,0.9,1.22454,0.59773,3.40658,3.02209,1.1,22587,17.300293,6.189671,1.522049,3.149727,6.314915,0.115616,4.501471,94.533828,22.795165,76.466586,1.446272,16.814926,15.800284,94.311740,77.018715,4.704527,22.951369,20.096893,15.513617,1.323255,2.247228,2026-06-01
